timestamp,btc_oi,eth_oi,total_oi,btc_change_pct,eth_change_pct,total_change_pct
2025-10-20 19:15:52.368,9166343122.692,5907225340.707601,15073568463.3996,0.0,0.0,0.0
2025-10-20 19:21:01.566,9178892191.36,5909721682.127999,15088613873.488,0.1369037630386436,0.042259119576767,0.0998131937034684
2025-10-20 19:26:30.099,9195261773.599998,5902989745.7748,15098251519.374798,0.1783394106688419,-0.1139129169747117,0.0638736332416395
2025-10-20 19:31:39.764,9156030378.88,5852945426.016001,15008975804.896002,-0.4266479376653797,-0.8477792087411284,-0.5912983656699131
2025-10-20 19:36:47.836,9161642478.304,5808332210.407599,14969974688.711596,0.0612940236299693,-0.7622352911424419,-0.2598519492028365
2025-10-20 19:41:05.558,9175608860.088,5811843645.472,14987452505.56,0.1524440821291223,0.0604551347477808,0.116752480961664
2025-10-20 19:46:13.052,9199943810.58,5791810355.3806,14991754165.9606,0.2652134682620427,-0.3446976779392208,0.0287017450030464
2025-10-20 19:51:23.809,9205613756.157,5794673037.2203,15000286793.3773,0.0616302196376372,0.049426373863231,0.0569154704795923
2025-10-20 19:56:37.988,9214066856.592,5805946258.028,15020013114.62,0.0918254953869607,0.1945445538564487,0.1315062939423921
2025-10-20 20:01:47.726,9232596639.495,5801442947.059199,15034039586.5542,0.2011031957049796,-0.0775637728746408,0.0933852176237147
2025-10-20 20:06:57.593,9246289420.612,5811200521.810699,15057489942.4227,0.148309101455011,0.1681922039144817,0.1559817355374975
2025-10-20 20:12:06.380,9207993971.74,5780331556.6368,14988325528.3768,-0.4141709947628583,-0.5311977285595586,-0.4593356151016762
2025-10-20 20:17:20.128,9209226366.34,5787713786.581,14996940152.921,0.0133839640184679,0.1277129152863985,0.0574755634169485
2025-10-20 20:23:32.286,9189757273.76,5780080807.429601,14969838081.189602,-0.2114085570874883,-0.1318824570955274,-0.1807173427048769
2025-10-20 20:28:40.179,9175809740.76,5786599773.104199,14962409513.8642,-0.1517725940360267,0.1127832964933525,-0.0496235649651795
2025-10-20 20:33:49.420,9164198885.432,5786458710.816001,14950657596.248,-0.1265376643155792,-0.0024377405338126,-0.0785429486160644
2025-10-20 20:38:58.704,9123651645.72,5780112868.288,14903764514.008,-0.4424526379109513,-0.1096671184422215,-0.3136523055130899
2025-10-20 20:45:09.228,9115263167.304,5785981684.9893,14901244852.2933,-0.091942116399604,0.1015346384237292,-0.0169062099198788
2025-10-20 20:50:20.056,9153477092.628,5814528048.4964,14968005141.1244,0.4192300828030153,0.4933711349477405,0.4480181991025265
2025-10-20 20:55:31.562,9146994331.388,5815892880.8217,14962887212.209702,-0.0708229361847733,0.0234727963115278,-0.0341924582898365
2025-10-20 21:00:42.708,9141393865.516,5823716190.6084,14965110056.1244,-0.0612273897752586,0.1345160570700698,0.0148557152317883
2025-10-20 21:05:50.356,9144033469.898,5827799978.4572,14971833448.355202,0.028875294302298,0.0701234008515973,0.0449271151737979
2025-10-20 21:11:01.242,9161878102.0,5838871258.2806,15000749360.2806,0.1951505553948758,0.1899735726058748,0.1931354100694632
2025-10-20 21:16:09.263,9144687126.003,5821842255.6528,14966529381.6558,-0.1876359388938718,-0.2916488799723014,-0.2281217944712038
2025-10-20 21:21:18.365,9148287294.025,5820204411.1338005,14968491705.1588,0.0393689578702178,-0.0281327532948666,0.0131114131603913
2025-10-20 21:26:29.877,9157707124.686,5826933301.8615,14984640426.5475,0.1029682426693525,0.1156126186019721,0.1078847602469855
2025-10-20 21:31:38.027,9160145039.7,5833090898.336,14993235938.036,0.0266214564497947,0.1056747375593525,0.0573621471308078
2025-10-20 21:35:47.790,9175720026.48,5844592702.2028,15020312728.6828,0.1700299145100739,0.1971819755128531,0.1805933739634584
2025-10-20 21:40:56.963,9173468028.093,5836571206.3398,15010039234.4328,-0.0245430154854348,-0.1372464476434201,-0.0683973392270437
2025-10-20 21:46:08.434,9182232204.04,5845554861.7401,15027787065.780102,0.0955383059074379,0.1539200856581994,0.1182397398841452
2025-10-20 21:51:18.524,9180392937.972,5836118851.2975,15016511789.2695,-0.0200307074263658,-0.1614219807320625,-0.0750295200567225
2025-10-20 21:56:30.539,9181434574.557,5842056719.0245,15023491293.5815,0.0113463180937775,0.101743433920646,0.0464788654645327
2025-10-20 22:01:39.692,9181747960.92,5841269713.7038,15023017674.6238,0.003413261407617,-0.013471374184657,-0.0031525225957502
2025-10-20 22:06:52.519,9192701882.8,5839369803.405601,15032071686.2056,0.1193010516801595,-0.0325256389675416,0.0602675958845078
2025-10-21 14:29:33.563,8859670810.45,5800739908.7528,14660410719.2028,-3.6227768135624645,-0.6615421861152051,-2.472453396718831
